Timestamp,Accel_X_g,Accel_Y_g,Accel_Z_g,Gyro_X_deg_per_s,Gyro_Y_deg_per_s,Gyro_Z_deg_per_s
0,34.032978048706056,20.521300979614256,-13.371616271972655,3.900763358778626,50.81679389312977,142.65648854961833
1,31.42808664245605,-17.019781051635743,-13.678074084472655,-64.50381679389314,56.6793893129771,136.793893129771
2,36.63786945495605,16.843807229614256,-13.065158459472656,-5.877862595419847,54.725190839694655,146.5648854961832
3,30.049026486206053,20.214843167114257,-14.290989709472655,-3.9236641221374047,39.091603053435115,138.74809160305344
4,34.492664767456056,19.448698635864258,-10.613495959472656,-50.82442748091603,119.21374045801527,132.8854961832061
5,31.27485773620605,19.755156448364257,-10.307038146972655,-19.557251908396946,-5.862595419847328,138.74809160305344
6,32.50068898620605,17.763180667114256,-13.831302990722655,-0.015267175572519083,103.58015267175573,136.793893129771
7,34.032978048706056,20.061614260864257,-13.065158459472656,-37.14503816793893,41.045801526717554,142.65648854961833
8,30.815171017456052,19.448698635864258,-14.137760803222655,-43.00763358778626,48.86259541984733,134.83969465648855
9,32.65391789245605,20.980987698364256,-15.976507678222655,-19.557251908396946,54.725190839694655,144.61068702290078
10,32.34746007995605,19.448698635864258,-7.089231115722656,-11.740458015267176,43.0,140.70229007633588
11,34.492664767456056,19.755156448364257,-9.234435803222656,13.67175572519084,17.595419847328245,132.8854961832061
12,33.57329132995605,17.916409573364255,-13.524845178222655,-19.557251908396946,80.12977099236642,146.5648854961832
13,32.19423117370605,20.521300979614256,-13.984531896972655,-39.099236641221374,48.86259541984733,146.5648854961832
14,32.04100226745605,19.908385354614257,-12.911929553222656,-11.740458015267176,54.725190839694655,140.70229007633588
15,33.57329132995605,19.601927542114257,-14.137760803222655,-5.877862595419847,58.63358778625954,132.8854961832061
16,29.742568673706053,19.448698635864258,-13.218387365722656,-21.51145038167939,43.0,130.93129770992365
17,31.73454445495605,20.368072073364257,-12.299013928222655,-21.51145038167939,68.40458015267176,138.74809160305344
